,IC50,Xc-4dv,MATS4s,GATS1dv,SdssC,BCUTd-1h,GATS1s,GATS1are,AATSC3d,PEOE_VSA2,AATS4v,AATS4Z,GATS3d,MATS3m,AXp-5dv,EState_VSA4,ETA_eta_L,ATSC5m,RotRatio,SsNH2,ETA_epsilon_5,SlogP_VSA2,MID_N,EState_VSA5,Xc-5dv,JGI5,GATS5pe,AATSC4d
AATS4v,-0.082589356623385,-0.12185566552498193,-0.17603349667920468,-0.21679878236864428,-0.30678394915788637,0.13183969340336135,0.08883187465528652,-0.2118776083273644,-0.037630905374035406,0.06633495096013707,1.0,0.8265692134800054,0.03411368796771212,0.2142301686721646,-0.4333426413590899,-0.21853545090100773,-0.1597266709683735,-0.08863944511090267,-0.5072986569865041,-0.17422949389014541,0.41496028977878313,0.056441821002357985,0.12617861744553582,0.18804959371262317,0.2148501217368561,0.3502491040375182,-0.18340791257456085,-0.12534125661605716
AATS4Z,-0.08277103512927382,-0.07759950092903183,-0.19872745254425855,-0.3826134923500841,-0.4356397345881602,0.21427433068815513,-0.041427827207323624,-0.34129050248409276,0.07620860273913327,0.01795624468816485,0.8265692134800054,1.0,-0.2315190331375859,0.3513641708131923,-0.1783631578416479,-0.3316318364409232,-0.19276496414864255,-0.23968949184672106,-0.3337337929654751,-0.2717499594192137,0.6780120349627459,0.0381170628621143,0.11714853960989946,0.2698915481824189,0.16012187992089078,0.41261734450134413,0.012367367129753507,0.03431860121365148
GATS3d,0.08568018115193944,0.23694973886783482,0.22422634432213204,0.3540234941508098,0.1816444722498611,0.22556530719750822,0.4574149268839862,0.3513777004635016,-0.8147379197714532,-0.2858921067870601,0.03411368796771212,-0.2315190331375859,1.0,-0.42604021181885293,-0.32353752102342326,-0.1339342681817212,-0.19772684529114842,0.2865250379895197,-0.38203234018899546,0.14551181588242212,-0.22880405893665862,-0.04290122532718119,-0.09540651546021349,0.03885687203315377,0.28883144925956905,0.17636997271993385,-0.3181584469946237,-0.45117935549988547
MATS3m,-0.07062086582123756,-0.28570104861023726,-0.23707049978411804,-0.2798005391756504,-0.13102346129165793,-0.1373831606151656,-0.27104849556496374,-0.24530040209187412,0.5526634028275929,0.1293127206784448,0.2142301686721646,0.3513641708131923,-0.42604021181885293,1.0,0.31821531338145,0.09086362774033303,0.12386348340847676,-0.4422289240205176,0.31675548645121676,-0.10287493531387477,0.23039360120312274,0.045648716988833334,0.006187762126342919,0.02219978499748598,0.0934709883364071,-0.0635563470343975,0.2624019951546255,-0.020334709045662914
AXp-5dv,0.07980790863286862,0.07755789219677632,-0.06095781881269602,0.2353381669247079,0.1834136983344402,-0.04191386073456164,-0.16826968514796442,-0.052551923992883456,0.4247284053431763,-0.025244862414868542,-0.4333426413590899,-0.1783631578416479,-0.32353752102342326,0.31821531338145,1.0,0.2107551465735747,0.4015256079867771,-0.28823237157598025,0.5199366437411876,-0.1229597247723239,-0.09636753104452472,0.10855274408460218,-0.2641043996517814,0.08911687454266602,0.17179550255382203,-0.2364552880154536,0.300268862885884,0.12075691470183074
EState_VSA4,0.0787392740580706,-0.11675420996493258,0.11502130009771214,0.16402758878721707,0.31317337435772424,-0.1903737290336872,-0.10729335124567396,0.13977492084149293,0.20621421729811873,-0.02410582074113256,-0.21853545090100773,-0.3316318364409232,-0.1339342681817212,0.09086362774033303,0.2107551465735747,1.0,0.35090086996782816,0.10590873661611748,0.2346388535994879,0.07229535761420734,-0.30539476138260374,0.10566400111990863,0.10209729485517272,-0.1955933357882631,0.010682020493932376,-0.21400924011274072,-0.10075984950275503,0.13256254251525118
ETA_eta_L,0.0675281920679664,0.2342819285107253,-0.047388839022427506,-0.0070706862537545144,0.05051390076400614,0.08943398876793814,-0.23291802667596603,0.008358977003543164,0.45194602130695266,0.33508060268698564,-0.1597266709683735,-0.19276496414864255,-0.19772684529114842,0.12386348340847676,0.4015256079867771,0.35090086996782816,1.0,-0.1344283043290848,0.19743942515302207,0.0021767969292389774,-0.1515437251671337,0.6450929718970082,0.1869991620891177,0.05824255748782999,0.42581981530861873,-0.1647041358189086,0.1332824440931332,0.24585598778951714
ATSC5m,0.07114986459127827,-0.1085469818100914,0.07256380467435332,0.23081839828858994,0.03204062902959206,-0.036269616272989434,0.14035324219473747,0.23529979275403062,-0.37900928964437813,-0.14819102027943007,-0.08863944511090267,-0.23968949184672106,0.2865250379895197,-0.4422289240205176,-0.28823237157598025,0.10590873661611748,-0.1344283043290848,1.0,-0.2954450061060827,0.25440561124762795,-0.22288143421923703,-0.03323833642865287,0.12992327853863692,-0.08761353298797475,-0.17386382050988003,-0.08228949952473444,-0.44244052373829335,0.1634052669653086
RotRatio,-0.06358155212083971,-0.21791621450619614,-0.1818163544570902,0.05947852883072885,0.17309408937831158,-0.41653589599478247,-0.20549995560941392,0.025623025915048163,0.486455602834664,0.12054690847017172,-0.5072986569865041,-0.3337337929654751,-0.38203234018899546,0.31675548645121676,0.5199366437411876,0.2346388535994879,0.19743942515302207,-0.2954450061060827,1.0,0.01439537858111453,-0.18655404365920092,-0.08888854409766728,-0.11680015886143162,-0.269157513045347,-0.2546945767951343,-0.42204230225398537,0.3395397194973952,0.08260834203139862
SsNH2,0.05607105325853371,-0.15846926082563415,-0.09223225475220972,0.13232032092252735,0.22990083741643927,-0.18281616502608244,0.17715272940475835,0.5110100059113423,-0.15640092108675266,-0.3020975131329517,-0.17422949389014541,-0.2717499594192137,0.14551181588242212,-0.10287493531387477,-0.1229597247723239,0.07229535761420734,0.0021767969292389774,0.25440561124762795,0.01439537858111453,1.0,-0.49395044701103497,-0.13060661827630696,0.18942041773211155,-0.21841881043923425,-0.10107737408484194,-0.17208412347783414,0.11679056094407818,-0.22968372802767048
ETA_epsilon_5,-0.06440859507424351,0.13006156595401225,-0.0474654608546824,-0.609372451630959,-0.5185747841028264,0.43556686514633564,-0.18726840089255992,-0.7020058525234922,0.004666609323870712,0.08363294070238717,0.41496028977878313,0.6780120349627459,-0.22880405893665862,0.23039360120312274,-0.09636753104452472,-0.30539476138260374,-0.1515437251671337,-0.22288143421923703,-0.18655404365920092,-0.49395044701103497,1.0,0.0874938046653208,-0.09038998622262485,0.28825118301807656,0.12567716128215561,0.4747104755488996,-0.11681239319253527,0.10604623622765047
SlogP_VSA2,0.051823411319058654,0.1459184967041555,-0.003670480181272363,-0.08019859461167986,-0.19810081379791564,0.1119157872403827,-0.14187282258849745,0.0001212799913593154,0.251380549615689,0.43093059744958684,0.056441821002357985,0.0381170628621143,-0.04290122532718119,0.045648716988833334,0.10855274408460218,0.10566400111990863,0.6450929718970082,-0.03323833642865287,-0.08888854409766728,-0.13060661827630696,0.0874938046653208,1.0,0.3727357199784196,0.048208324472016825,0.24420333072415232,-0.01184012748462361,0.02269703814970059,0.1916986977231555
MID_N,0.04602578841174604,-0.08049847531232711,0.038488053841911354,-0.15516611475890443,-0.0752171172347168,-0.04122760993341681,-0.10272316248175445,0.1137019741888925,0.09593567518690066,0.20713873989151216,0.12617861744553582,0.11714853960989946,-0.09540651546021349,0.006187762126342919,-0.2641043996517814,0.10209729485517272,0.1869991620891177,0.12992327853863692,-0.11680015886143162,0.18942041773211155,-0.09038998622262485,0.3727357199784196,1.0,0.11003360534473484,-0.02418725762874579,-0.11129451963487266,-0.01308562083154857,0.29062938896538515
EState_VSA5,0.055519938371449855,0.2590414185812874,0.24284830821284828,-0.05221549335957977,-0.05040420394109218,0.34979743422973614,0.04153103236730961,-0.23291934899234812,-0.10430423049939523,-0.11827850586979116,0.18804959371262317,0.2698915481824189,0.03885687203315377,0.02219978499748598,0.08911687454266602,-0.1955933357882631,0.05824255748782999,-0.08761353298797475,-0.269157513045347,-0.21841881043923425,0.28825118301807656,0.048208324472016825,0.11003360534473484,1.0,0.3258904059684858,0.22913417311544074,-0.2890871182546983,0.14372099003850633
Xc-5dv,0.0556528918654591,0.5830603397706161,0.057437785256881244,0.06443586768785274,0.06204981768445821,0.4870248858796819,0.2507596810042059,-0.042286428755910675,-0.07841661572628512,-0.012049020986465818,0.2148501217368561,0.16012187992089078,0.28883144925956905,0.0934709883364071,0.17179550255382203,0.010682020493932376,0.42581981530861873,-0.17386382050988003,-0.2546945767951343,-0.10107737408484194,0.12567716128215561,0.24420333072415232,-0.02418725762874579,0.3258904059684858,1.0,0.3549964486898219,-0.1674686244387745,-0.04564870175175354
JGI5,0.052652606503594886,0.3531394504121114,0.00918521707347422,-0.24179512565585634,-0.29180029359227244,0.4523958717681442,0.18297670272625172,-0.21792637741688564,-0.32916279263449055,-0.10689569115427218,0.3502491040375182,0.41261734450134413,0.17636997271993385,-0.0635563470343975,-0.2364552880154536,-0.21400924011274072,-0.1647041358189086,-0.08228949952473444,-0.42204230225398537,-0.17208412347783414,0.4747104755488996,-0.01184012748462361,-0.11129451963487266,0.22913417311544074,0.3549964486898219,1.0,-0.1997005563311016,0.09608106942211112
GATS5pe,-0.047520540515499594,-0.11275603329967124,-0.22898293710253972,-0.1374228964305446,0.0060187087435513865,-0.18360603413849783,-0.25716313145442565,0.059533565658221974,0.33829059794179345,0.0624201980216293,-0.18340791257456085,0.012367367129753507,-0.3181584469946237,0.2624019951546255,0.300268862885884,-0.10075984950275503,0.1332824440931332,-0.44244052373829335,0.3395397194973952,0.11679056094407818,-0.11681239319253527,0.02269703814970059,-0.01308562083154857,-0.2890871182546983,-0.1674686244387745,-0.1997005563311016,1.0,-0.13399326138223563
AATSC4d,0.05749111230344095,0.10111935974444079,-0.019684465071264024,-0.05920206577892677,-0.12065201341645694,0.003598243448047044,-0.17309282726302666,-0.16761461522900956,0.3463629965633438,0.20569610143931732,-0.12534125661605716,0.03431860121365148,-0.45117935549988547,-0.020334709045662914,0.12075691470183074,0.13256254251525118,0.24585598778951714,0.1634052669653086,0.08260834203139862,-0.22968372802767048,0.10604623622765047,0.1916986977231555,0.29062938896538515,0.14372099003850633,-0.04564870175175354,0.09608106942211112,-0.13399326138223563,1.0
