STT,SMILES,CID,AVG_IC50_uM,FIRST_LABEL,FINAL_LABEL,DUPLICATE_COUNTS
109,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC3=CN(N=C3C=C2)C)C#N)NC(=O)[C@H]4CC45CCN(CC5)C,162660526,0.1903666666666667,Active,Active,3
769,CN1CCN(CC1)CCNC(=O)C2=CC=C(C=C2)C(=O)NO,71574856,,Unspecified,Inactive,1
77,COC1=CC=CC(=C1)C2=CC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO,162668465,0.0039,Active,Active,1
84,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=C(C=C2)F)C(=O)N)NC(=O)[C@H]3CC34CCN(CC4)CC,162665723,0.121,Active,Active,3
280,COC1=CC=C(C=C1)NC(=O)NOCC2=CC=C(C=C2)/C=C/C(=O)NO,155547606,0.53,Active,Active,2
82,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CN3C=NC4=C(N=C(N=C43)Cl)NC5=CC(=C(C=C5)F)Cl,162666240,3.78,Active,Inactive,1
539,CC1=C(C(=O)C(=C(C1=O)C)CONC(=O)CCCCCCC(=O)NC2=CC=CC=C2)C,122177622,0.255,Active,Active,1
495,CC1=C2C=CC(=CC2=NN1C)N(C)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)NCCCCCC(=O)NC5=CC=CC=C5N,141504722,3.0,Active,Inactive,1
442,COC1=CC=CC(=C1)N2C(=NC(=N2)C(=O)NCCCCCC(=O)NO)C3=CC(=C(C(=C3)OC)OC)OC,145955496,0.232,Active,Active,1
769,COC1=CC=CC(=C1)COC(CCCCCC(=O)NO)C(=O)NC2=CC=CC=C2,25066137,,Unspecified,Inactive,1
309,CC(C)C1C(=O)OC(CC(=O)NCC2=NC(=CS2)C3=NC(CS3)(C(=O)N1)C)C=CC(CS)(F)F,155532640,0.01849,Active,Active,1
516,CC1=C2C=CC(=CC2=NN1C)N(C)C3=NC(=NC=C3)NC4=CC=CC(=C4)/C=C/C(=O)NO,137487427,3.0,Active,Inactive,1
734,C1=CSC(=C1)C2=CC(=C(C=C2)N)NC(=O)C3=CC4=NC=CN=C4C=C3,11393847,0.2,Active,Active,1
2,C1=CC=C2C(=C1)N(C3=C(S2=O)C=CC(=C3)C(F)(F)F)CC4=CC=C(C=C4)C(=O)NO,164627475,2.12,Active,Inactive,1
101,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C(C=C2)Cl)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,162662875,0.064,Active,Active,1
490,C1=CC(=CC=C1NC2=NC(=NC=C2C(F)(F)F)NC3=CN(N=C3)CCCCCCC(=O)NO)F,141728825,0.041,Active,Active,1
675,C1=CC=C(C=C1)NC(=O)CCCCCCCN(C=O)O,44359674,7.8,Active,Inactive,1
769,CC[C@@H](C1=NC2=CC=CC=C2C(=N1)CCCCCC(=O)NO)NC3=NC=NC4=C3NC=N4,142505968,,Unspecified,Inactive,1
208,C1=CC(=CC=C1N2N=CC(=N2)[C@H](CCCCCC(=O)C3=NOC=C3)N)F,156017747,1.8405,Active,Inactive,2
277,C1=CC(=CC=C1CN2C=C(C=N2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)F)Cl)/C=C/C(=O)NO,155550122,0.572,Active,Active,2
5,C1=CC=C2C(=C1)N(C3=C(S2)C=CC(=C3)C(=O)NC4=NC=C(C=C4)Br)CC5=CC=C(C=C5)C(=O)NO,164626486,0.03,Active,Active,1
54,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C(=CC=C2)C(F)(F)F)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,162673789,0.063,Active,Active,1
536,CC(C)CN1C=NC2=C(N=C(N=C21)Cl)NCCCCCCC(=O)NO,127026516,0.165,Active,Active,1
314,C1CCC(CC1)NC(=O)CN(CCCCCC(=O)NC2=CC=CC=C2N)C(=O)C3=CC=CC=C3,155529690,5.95,Active,Inactive,1
769,C1CN=C2C3=C(C=CC(=C3)I)SC(=S)N2C1,155512551,,Unspecified,Inactive,1
635,C1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)C3=COC=C3)N,46830327,0.4245,Active,Active,2
456,CC1=CC=C(O1)C2=NC3=CC(=C(C=C3C(=C2)NCC4=CC=C(C=C4)C(=O)NO)OC)OC,142495372,0.091,Active,Active,1
97,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=C(C=C2)F)C(=O)N)NC(=O)C3CN(C3)C,162663519,0.4841333333333334,Active,Active,3
260,CC(C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N)NC3=CC=CC=C3,155560779,7.0,Active,Inactive,1
769,CN1CC(C1)C(=O)NCC2=NC=C(N2)C3=CC4=CC=CC=C4N=C3OC,164614621,,Unspecified,Inactive,2
769,C1CN2C(=N1)C3=C(C=C(C=C3)Cl)SC2=S,155514603,,Unspecified,Inactive,1
769,C1CN2C(=N1)C3=C(C=C(C=C3SC2=S)Br)F,155565674,,Unspecified,Inactive,1
408,C1=CC(=CC=C1NC(=O)CCCCCCC(=O)NO)N(CCCl)CCCl,145977632,0.24,Active,Active,1
769,C[C@@H](C(=O)NC1=CC=CC=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)NO,145966296,,Unspecified,Inactive,2
760,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,444732,0.03326,Active,Active,9
481,C1=CC(=CC=C1NC2=NC(=NC=C2F)NC3=CN(N=C3)CCCCCCC(=O)NO)F,141728855,0.003,Active,Active,1
118,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC3=C(C=C2)N=C(C=C3)C)C#N)NC(=O)[C@H]4CC45CCN(CC5)C,162658517,0.06783333333333333,Active,Active,3
769,CC1=C2C=CC(=CC2=NN1C)N(C)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)NCC(=O)NC5=CC=CC=C5N,137487451,,Unspecified,Inactive,1
250,C1CCN(C1)CC2=CN(C3=CC=CC=C32)CC4=CC=C(C=C4)C(=O)NO,155564870,6.30957,Active,Inactive,1
333,COC1=CC=C(C=C1)SCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N,155518496,0.205,Active,Active,1
9,CCC[C@@H](C1=NC=C(N1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)C4CN(C4)C,164625443,3.4,Active,Inactive,1
196,COC1=NC2=CC=CC=C2C=C1C3=CN=C(N3)[C@H](CCCCCC(=O)C4=NC=C(O4)CO)N,156021459,0.47,Active,Active,1
769,CC1=CC2=C(C=C1)SC(=S)N3C2=NCCC3,121278998,,Unspecified,Inactive,1
81,C1=CC=C(C(=C1)C2=CC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO)F,162667002,0.0044,Active,Active,1
448,CC(C)CCN(CCCCCCC(=O)NO)C1=NC=C(S1)C(=O)NCCCN2C=CN=C2,145950884,0.0068,Active,Active,1
467,C1=CC(=CC=C1CC(=O)NC2=CN=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N)F,142489319,3.0,Active,Inactive,1
615,C1CCN(CC1)CCNC(C2=CC=C(C=C2)C=CC(=O)NC3=CC=CC=C3N)C(=O)NC4=CC=C(C=C4)C5=CC=C(C=C5)C6CC6,53326925,0.24,Active,Active,1
239,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)[C@H]4CC45CCCN(C5)C,156009802,0.0185,Active,Active,1
499,CC(C)[C@H](C1=CC=CC=C1)C(=O)NC2=NC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,139325820,8.4,Active,Inactive,1
211,C1CC2=CC=CC=C2N(C3=C1C=CC(=C3)Cl)CCCNC(=O)CCCCCCCC(=O)NO,156016469,2.74,Active,Inactive,1
712,COC1=C(C=C(C=C1)NCC2=CC=C(C=C2)C(=O)NC3=C(C=CC(=C3)C4=CC=CC=C4)N)OC,23648261,0.1,Active,Active,1
351,CCCNNC(=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,155511274,0.1746,Active,Active,1
440,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NO,145958641,1.704,Active,Inactive,1
227,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)[C@H]4CC45CCN(CC5)CC6=CN=CC=C6,156013262,0.0039,Active,Active,1
769,C1CN=C2C3=C(C=C(C=C3)C#N)SC(=S)N2C1,155531957,,Unspecified,Inactive,1
332,CCNC(=O)NOCC1=CC=C(C=C1)/C=C/C(=O)NO,155518725,6.85,Active,Inactive,1
769,C=CCN1C(=NN=C1SCCCCCC(=O)NO)C2=CC=NC=C2,164618088,,Unspecified,Inactive,1
507,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC(=CC=C3)C=CC(=O)NO.Cl,137647813,0.00018,Active,Active,1
382,CC1=CC=C(O1)C2=NC3=CC(=C(C=C3C(=C2)NCC4CCN(CC4)C5=NC=C(C=N5)C(=O)NO)OC)OC,146284820,0.051,Active,Active,1
423,C1=CC(=CC=C1C2=NNC(=C2)C(=O)NCCCCCCC(=O)NO)F,145969456,0.04,Active,Active,1
769,CC1=CC2=C(C=C1)SC(=S)N3C2=NCC3,155564750,,Unspecified,Inactive,1
769,CC1=CC=C(C=C1)COC(CCCCCC(=O)NO)C(=O)NC2=CC=CC=C2,25066136,,Unspecified,Inactive,1
422,CCC1=CC(=NN1CC2=CC=C(C=C2)C(=O)NO)C3=CC=C(C=C3)F,145969651,0.391,Active,Active,1
7,CCCC[C@@H](C1=NC=C(N1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)CC4=CNC5=CC=CC=C54,164625922,2.7,Active,Inactive,1
155,C1=CC=C2C(=C1)C(=C3C=C(C=CC3=N2)OC(F)(F)F)NC4=CC=C(C=C4)C(=O)NO,162651817,0.67,Active,Active,1
538,C1COCCN1C2=C3C=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCCCC(=O)NO,122376192,0.0256,Active,Active,1
521,COC1=CC(=CC(=C1C=NNC(=O)CCCCCC(=O)NO)OC)O,135886613,0.108,Active,Active,1
522,CCC(CCCC(=O)NC1=CC=CC=C1)CCC(=O)NO,134283799,4.9,Active,Inactive,1
388,CCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)C2=NC(=C3C(=C2)C4=CC=CC=C4N3)C,145991220,1.75,Active,Inactive,1
769,CC1=C2C(=CC=C1)C3=NCCN3C(=S)S2,155529066,,Unspecified,Inactive,1
751,C1=CC=C(C=C1)/C=C/C(=O)NO,5355635,0.457,Active,Active,1
327,CC1=CC(=CC(=C1)C(=O)N(CCCCCC(=O)NC2=CC=CC=C2N)CC(=O)NC3CCCCC3)C,155524660,6.66,Active,Inactive,1
769,CC[C@@H](C1=NC=C(N1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)C4CN(C4)C,164616411,,Unspecified,Inactive,2
769,C1=CC=C(C=C1)CONC(=O)CCCCCCC(=O)NC2=CC=CC=C2,122177623,,Unspecified,Inactive,1
543,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNCC3=NC(=NO3)C4=CC=C(C=C4)F,118735152,0.28,Active,Active,1
527,CCOC1=CC(=CC2=C1OCC(=C2)[N+](=O)[O-])NC(=O)CCCCCC(=O)NC3=C(C=CC(=C3)C4=CC=C(S4)C)N,132576541,1.788,Active,Inactive,1
578,C1=CC=C(C=C1)CCNC(=O)C2=CC(=CC=C2)C(=O)NO,71680913,7.85,Active,Inactive,2
769,CC1=C2C=CC(=CC2=NN1C)N(C)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)NCCC(=O)NC5=CC=CC=C5N,141504707,,Unspecified,Inactive,1
439,CS(=O)(=O)NC1=CC=C(C=C1)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCC(CC4)C(=O)NCCCCCCCC(=O)NO,145959360,0.132,Active,Active,1
769,CN(C)C1=CC=CC=C1C(=O)NCCCC[C@@H](C2=NC=C(N2)C3=CC4=CC=CC=C4C=C3)NC(=O)C5=CN=CS5,162673655,,Unspecified,Inactive,1
228,CC1=CC(=C(C(=O)N1)CNC(=O)C2=C(N(N=C2)C3=CC=CC(=C3)NC(=O)CCCCCCC(=O)NO)C)C,156013097,2.36,Active,Inactive,1
344,C1=CC=C2C=C(C=CC2=C1)C(=O)NOCC3=CC=C(C=C3)/C=C/C(=O)NO,155513254,2.375,Active,Inactive,2
723,C1=CC(=CC=C1/C=C/C(=O)NO)C2=CC=C(C=C2)O,15986418,0.59,Active,Active,1
212,CCC(=O)CCCCC[C@@H](C1=NC(=NN1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)[C@H]4CC45CCN(CC5)C,156016369,0.11,Active,Active,1
79,COC1=CC=CC=C1C2=CC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO,162667414,0.0054,Active,Active,1
148,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C(=NC=C2)N3CCOCC3)F)NC(=O)[C@H]4CC45CCN(CC5)C,162653738,0.156,Active,Active,2
302,CCCN(CC)NC(=O)C=CC1=CC=C(C=C1)CNCCC2=C(NC3=CC=CC=C32)C.C(=O)(C(F)(F)F)O,155537405,8.071,Active,Inactive,1
328,CC1=CC=C(C=C1)CNC(=O)CN(CCCCCC(=O)NC2=CC=CC=C2N)C(=O)C3=CC(=CC(=C3)C)C,155521965,5.03,Active,Inactive,1
319,C1=CC=C2C(=C1)C=CC(=N2)C(=O)NOCC3=CC=C(C=C3)/C=C/C(=O)NO,155527385,0.905,Active,Active,2
497,CC1=C2C=CC(=CC2=NN1C)N(C)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)NCCCCCCCC(=O)NC5=CC=CC=C5N,141504704,4.98,Active,Inactive,2
706,C1CC(=O)N(CC(OC(=O)CCC=C1)C2=CC=CC=C2)CC3=CC(=CC=C3)C=NNC(=O)C4=CC(=CC=C4)C(=O)NO,23760408,5.0,Active,Inactive,1
584,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=CC=C2,71462653,3.598,Active,Inactive,2
696,C1=CC=C(C=C1)COC(CCCCC(=O)NO)C(=O)NC2=CC=CC=C2,25065925,0.5,Active,Active,1
133,C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC(=CS3)C4=CC=C(C=C4)OCCCCCCC(=O)NO)N=NC5=NC=CS5,162655464,0.0408,Active,Active,1
547,COC1=CC=C(C=C1)C2=NOC(=N2)CNCC3=CC=C(C=C3)C(=O)NC4=CC=CC=C4N,118735148,0.29,Active,Active,1
311,CCCNNC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2,155531159,0.4741,Active,Active,1
603,C1=CC=C(C=C1)C=CCN2C=C(C=N2)C=CC(=O)NC3=C(C=C(C=C3)F)N,56650312,9.7,Active,Inactive,1
432,CC1=NN(C(=C1)C2=CC3=C(C=C2)OCO3)CC4=CC=C(C=C4)C(=O)NO,145967610,0.135,Active,Active,1
0,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NNCCC(=O)OC.C(=O)(C(F)(F)F)O,155525662,4.214,Active,Inactive,1
316,B1(O[C@@H]2[C@@H]3C[C@@H](C3(C)C)C[C@@]2(O1)C)[C@H](CC(C)C)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)C6=CC=CC(=C6)/C=C/C(=O)NO,155529608,0.0108,Active,Active,1
769,C1=CC=C(C=C1)CNC(=O)[C@H](CC2=CNC3=CC=CC=C32)NS(=O)(=O)C4=CC=CC(=C4)C(=O)NO,145965019,,Unspecified,Inactive,2
544,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNCC3=NC(=NO3)C4=CC=C(C=C4)[N+](=O)[O-],118735151,0.15,Active,Active,1
465,C1=CC=C(C=C1)CC(=O)NC2=CN=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,142489323,2.0,Active,Inactive,1
529,CCOC1=CC(=CC2=C1OCC(=C2)[N+](=O)[O-])NC(=O)CCCCCC(=O)NC3=C(C=CC(=C3)C4=CC=CC=C4)N,132576539,0.659,Active,Active,1
468,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CN=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,142489318,2.5,Active,Inactive,1
636,C1=CC=C(C(=C1)N)NC(=O)CCCCCCC2=NC(=NO2)C3=CC=C(C=C3)F,46203951,2.57,Active,Inactive,1
172,COC1=CC=C(C=C1)C2=NC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO,162643749,0.009,Active,Active,1
125,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C3C=C(OC3=C2)C(=O)OCC)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,162657089,0.0091,Active,Active,1
769,C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=CC=C2)C(=O)NO,44507542,,Unspecified,Inactive,1
411,C1C(C1NCC2=CC=C(C=C2)/C=C/C(=O)NC3=CC=CC=C3N)C4=CC=CC=C4,145974565,0.491,Active,Active,1
769,C1=CC=C(C=C1)CNS(=O)(=O)C2=CC=CC(=C2)C(=O)NO,141522811,,Unspecified,Inactive,2
90,C1=CC(=CC(=C1)C(F)(F)F)C2=CC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO,162664847,0.005,Active,Active,1
769,C1=CC=C(C=C1)C[C@@H](C(=O)NO)N2C(=C(N=N2)C3=CC=CC=C3)C#CC4=CC=CC=C4,78324068,,Unspecified,Inactive,1
181,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CN(C3=CC=CC=C32)C)NC(=O)[C@H]4CC45CCN(CC5)C,162506662,0.0029,Active,Active,1
274,B1(O[C@@H]2[C@@H]3C[C@@H](C3(C)C)C[C@@]2(O1)C)[C@H](CC(C)C)NC(=O)CNC(=O)C4=CC=CC(=C4)/C=C/C(=O)NO,155552130,0.4655,Active,Active,2
769,C1C(C1C(=O)NC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N)C4=CC=CC=C4,145958925,,Unspecified,Inactive,1
69,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CN3C=NC4=C(N=C(N=C43)N)NC5=CC(=C(C=C5)F)Cl,162670784,0.585,Active,Active,1
291,CC1=CC(=CC(=C1)NC(=O)NOCC2=CC=C(C=C2)/C=C/C(=O)NO)C,155544609,1.33,Active,Inactive,2
131,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C(C=C2)C(=O)NC3=NC=CC(=C3)C(F)(F)F)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,162655735,0.087,Active,Active,1
300,CCCCCCCC(=O)SCCC=C(C1CC(=O)NCC2=NC(=CS2)C3=NC(CS3)(C(=O)NC(C(=O)O1)C(C)C)C)F,155538765,1.817,Active,Inactive,1
769,C1COCCN1C2=C3C=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCC5=CC=C(C=C5)C(=O)NO,145953085,,Unspecified,Inactive,1
326,B1(O[C@@H]2[C@@H]3C[C@@H](C3(C)C)C[C@@]2(O1)C)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)C5=CC=C(C=C5)C(=O)NC6=CC=CC=C6N,155525782,3.695,Active,Inactive,2
144,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=CC(=C2)C(C)C)OC)NC(=O)[C@H]3CC34CCN(CC4)CC,162653885,0.076,Active,Active,1
693,C=CCOC(CCCCCC(=O)NO)C(=O)NC1=CC=CC=C1,25065931,0.5,Active,Active,1
769,CN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N)C4=CC=NC=C4,164613059,,Unspecified,Inactive,1
135,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC=C(C=C2)N3C(=CC(=N3)C)C)NC(=O)[C@H]4CC45CCN(CC5)C,162655311,0.067,Active,Active,2
398,C1CN(CCN1C2=CC=NC=C2)C(=S)SCC3=CC=C(C=C3)C(=O)NC4=CC=CC=C4N,145985400,0.47,Active,Active,1
164,CCC(=O)CCCCC[C@@H](C1=C(N=C(N1)C2=CC=C(C=C2)C3=CN=CC=C3)C#N)NC(=O)[C@H]4CC45CCN(CC5)C,162647783,0.04456666666666666,Active,Active,3
28,CN1C(=NN=C1SCCCCCC(=O)O)C2=CC=NC=C2,164614861,7.36,Active,Inactive,1
559,CC1(CC(=O)NC2=C1C=C(C=C2)C(=O)NCC3=CC=C(C=C3)/C=C/C(=O)NO)C,86581434,0.022,Active,Active,1
193,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)[C@H]4CC45CCOCC5,156021997,0.0313,Active,Active,1
380,CN1CC(C1)C(=O)N[C@@H](CCCCCC(=O)C2=NOC=C2)C3=NC=C(N3)C4=CC=CC=C4F,146317294,0.002585,Active,Active,2
633,C1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)C3=CC=C(C=C3)F)N,46830345,0.716,Active,Active,2
169,C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC(=CS3)C4=CC=C(C=C4)C(=O)NCCCCC(=O)NO)N=NC5=NC=CS5,162644191,0.2074,Active,Active,1
479,C1=CC(=CC=C1NC2=NC(=NC=C2Cl)NC3=CN(N=C3)CCCCC(=O)NO)F,141728867,0.9844999999999999,Active,Active,2
140,C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC(=CS3)C4=CC=C(C=C4)C(=O)N=O)NNC5=NC=CS5,162654446,0.5774,Active,Active,1
173,CCOC1=CC=CC(=C1)C2=CC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO,162643350,0.0042,Active,Active,1
6,C/C(=N\O)/C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,164626034,0.33,Active,Active,1
732,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO,11538455,0.00216,Active,Active,2
739,C1=CC=C2C(=C1)C=C(C=N2)NC(=O)C(CCCCCN(C=O)O)C(=O)NC3=CC4=CC=CC=C4N=C3,9891541,0.2,Active,Active,1
73,C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC(=CS3)C4=CC=C(C=C4)C(=O)NCC5=CC=C(C=C5)/C=C/C(=O)NO)N=NC6=NC=CS6,162669606,1.3415,Active,Inactive,1
678,C1=CC(=CC=C1/C=C/C(=O)NO)C2=CC3=C(C=C2)NC=C3,42632491,1.2,Active,Inactive,1
405,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)C2=NC(=C3C(=C2)C4=CC=CC=C4N3)C5=CC(=CC=C5)OC,145979160,0.37,Active,Active,1
